no	type	tree	observed	simulate
1	0.ntLike	(((((bison,wisent),yak),(cattle,indicus)),buffalo),goat);	0.245616248265422	0.22563
2	0.ntLike	(((((cattle,indicus),yak),(bison,wisent)),buffalo),goat);	0.106219250662293	0.121465
3	0.ntLike	(((((bison,wisent),(cattle,indicus)),yak),buffalo),goat);	0.110760691308187	0.11355
4	0.ntLike	(((((wisent,yak),bison),(cattle,indicus)),buffalo),goat);	0.038160716538413	0.028195
5	0.ntLike	((((((bison,wisent),yak),indicus),cattle),buffalo),goat);	0.0249779235524158	0.02262
6	0.ntLike	((((((bison,wisent),yak),cattle),indicus),buffalo),goat);	0.0201211050838905	0.02319
7	0.ntLike	(((((cattle,yak),indicus),(bison,wisent)),buffalo),goat);	0.0220133720196796	0.00928
8	0.ntLike	(((((indicus,yak),cattle),(bison,wisent)),buffalo),goat);	0.0138135486312602	0.00936
9	0.ntLike	(((((bison,wisent),indicus),(cattle,yak)),buffalo),goat);	0.00466759177494639	0.01766
10	0.ntLike	(((((bison,wisent),cattle),(indicus,yak)),buffalo),goat);	0.0049198940330516	0.016855
11	0.ntLike	((((((bison,wisent),indicus),cattle),yak),buffalo),goat);	0.0114797527437871	0.00855
12	0.ntLike	(((((bison,wisent),yak),buffalo),(cattle,indicus)),goat);	0.00473066733947269	0.014775
13	0.ntLike	((((((bison,wisent),cattle),indicus),yak),buffalo),goat);	0.010848997098524	0.008395
14	0.ntLike	((((bison,wisent),yak),((cattle,indicus),buffalo)),goat);	0.00372145830705185	0.014365
15	0.ntLike	(((((bison,wisent),(cattle,yak)),indicus),buffalo),goat);	0.00668600983978807	0.008915
16	0.ntLike	(((((bison,wisent),(indicus,yak)),cattle),buffalo),goat);	0.00681216096884067	0.008725
17	0.ntLike	((((((bison,wisent),cattle),yak),indicus),buffalo),goat);	0.00618140532357765	0.008605
18	0.ntLike	((((((bison,wisent),indicus),yak),cattle),buffalo),goat);	0.00586602750094613	0.00834
19	0.ntLike	(((((cattle,indicus),yak),buffalo),(bison,wisent)),goat);	0.00283840040368361	0.009155
20	0.ntLike	(((((bison,wisent),(cattle,indicus)),buffalo),yak),goat);	0.00315377822631513	0.008355
21	0.ntLike	((((bison,wisent),buffalo),((cattle,indicus),yak)),goat);	0.00220764475842059	0.009185
22	0.ntLike	((((bison,wisent),(cattle,indicus)),(buffalo,yak)),goat);	0.00170304024221017	0.008225
23	0.ntLike	((((((wisent,yak),bison),indicus),cattle),buffalo),goat);	0.00416298725873597	0.002055
24	0.ntLike	((((((wisent,yak),bison),cattle),indicus),buffalo),goat);	0.00327992935536773	0.00222
25	0.ntLike	((((cattle,indicus),buffalo),((wisent,yak),bison)),goat);	0.00138766241957866	0.002135
26	0.ntLike	(((((wisent,yak),bison),buffalo),(cattle,indicus)),goat);	0.00126151129052605	0.00193
27	0.ntLike	((((bison,wisent),(buffalo,yak)),(cattle,indicus)),goat);	0.00296455153273622	0
28	0.ntLike	(((((cattle,indicus),buffalo),yak),(bison,wisent)),goat);	0.00290147596820992	0
29	0.ntLike	(((((cattle,indicus),buffalo),(bison,wisent)),yak),goat);	0.00283840040368361	0
30	0.ntLike	(((((bison,wisent),buffalo),(cattle,indicus)),yak),goat);	0.00283840040368361	0
31	0.ntLike	(((((bison,wisent),buffalo),yak),(cattle,indicus)),goat);	0.00189226693578908	0
32	0.ntLike	((((buffalo,yak),(cattle,indicus)),(bison,wisent)),goat);	0.00182919137126277	0
33	0.ntLike	(((((bison,wisent),indicus),buffalo),(cattle,yak)),goat);	0	0.00179
34	0.ntLike	(((((bison,wisent),yak),indicus),(buffalo,cattle)),goat);	0	0.001785
35	0.ntLike	((((bison,wisent),indicus),((cattle,yak),buffalo)),goat);	0	0.001705
36	0.ntLike	((((((bison,wisent),yak),indicus),buffalo),cattle),goat);	0	0.001705
37	0.ntLike	(((((bison,wisent),yak),cattle),(buffalo,indicus)),goat);	0	0.00167
38	0.ntLike	((((((bison,wisent),yak),cattle),buffalo),indicus),goat);	0	0.001655
39	0.ntLike	(((((bison,wisent),cattle),buffalo),(indicus,yak)),goat);	0	0.00159
40	0.ntLike	((((bison,wisent),cattle),((indicus,yak),buffalo)),goat);	0	0.001525
41	0.ntLike	((((((bison,wisent),yak),buffalo),indicus),cattle),goat);	0.00119843572599975	0
42	0.ntLike	((((((bison,wisent),yak),buffalo),cattle),indicus),goat);	0.00107228459694714	0
43	1.none	(((((bison,yak),wisent),(cattle,indicus)),buffalo),goat);	0.0430175350069383	0.028025
44	1.none	(((((cattle,indicus),bison),(wisent,yak)),buffalo),goat);	0.00769521887220891	0.026005
45	1.none	(((((cattle,indicus),(wisent,yak)),bison),buffalo),goat);	0.0109751482275766	0.020075
46	1.none	((((((cattle,indicus),yak),wisent),bison),buffalo),goat);	0.0107859215339977	0.006435
47	1.none	((((((cattle,indicus),bison),wisent),yak),buffalo),goat);	0.0106597704049451	0.00631
48	1.none	((((((cattle,indicus),yak),bison),wisent),buffalo),goat);	0.010848997098524	0.006105
49	1.none	((((((cattle,indicus),bison),yak),wisent),buffalo),goat);	0.00637063201715655	0.005885
50	1.none	((((((bison,yak),wisent),indicus),cattle),buffalo),goat);	0.00561372524284092	0.00244
51	1.none	((((((bison,yak),wisent),cattle),indicus),buffalo),goat);	0.00359530717799924	0.002465
52	1.none	(((((wisent,yak),indicus),(bison,cattle)),buffalo),goat);	0.00132458685505235	0.00304
53	1.none	(((((bison,cattle),indicus),(wisent,yak)),buffalo),goat);	0.0025230225810521	0.0018
54	1.none	(((((bison,indicus),cattle),(wisent,yak)),buffalo),goat);	0.00214456919389429	0.001885
55	1.none	(((((bison,cattle),(indicus,wisent)),yak),buffalo),goat);	0.00391068500063076	0
56	1.none	(((((bison,indicus),(cattle,wisent)),yak),buffalo),goat);	0.00372145830705185	0
57	1.none	((((bison,yak),wisent),((cattle,indicus),buffalo)),goat);	0.00163996467768387	0.002035
58	1.none	((((((bison,cattle),indicus),wisent),yak),buffalo),goat);	0.00353223161347294	0
59	1.none	(((((bison,yak),wisent),buffalo),(cattle,indicus)),goat);	0.00145073798410496	0.002075
60	1.none	(((((bison,indicus),(wisent,yak)),cattle),buffalo),goat);	0.00182919137126277	0.00167
